埋炭	いけずみ
埋葬虫	しでむし
埴猪口	へなちょこ
埴瓮	はにべ
埴生	はにゅう
埴破	はんなり
基米突	キロメートル
基隆	キールン
堂頭	どうちょう
堅塩	きたし
堅磐	かきわ
堅魚	かつお
堅魚木	かつおぎ
堪察加	カムチャツカ
堰杙	いぐい
報える	こたえる
報達	バグダッド
塊芋	ほど
塔主・塔司	タッス
塗師	ぬし
塗籠	ぬりごめ
塘蒿	セロリ
塞丙牙	セネガル
塞爾維	セルビア
塞班	サイパン
塞納	セーヌ
塞耳比	セルビア
塩汁	しょっつる
塩膚木	ぬるで
塵手水	ちりちょうず
塵芥虫	ごみむし
墨西哥	メキシコ
墨魚	いか
墾道	はりみち
壁宿	なまめぼし
壁虎	やもり
壁蝨	だに
士班牙	スペイン
士篤恒	ストックホルム
壬生菜	みぶな
壱岐	いき
壱越調	いちこつチョウ
売僧	マイス
売女	ばいた
売子木	さんたんか
壺菫	つぼすみれ
変倫諾爾	イリノイ
変色蜥蜴	カメレオン
夏初月	なつはづき
夏書	げかき
夏籠	けごもり
夏蚕	なつご
夕星	ゆうずつ
夕貌	ゆうがお
夕陽	ゆうひ
外国	とつくに
外山	とやま
外持	ほまち
外方	そっぽ
外様	とざま
外法	そとのり
外記	げき
外障	うわひ
多倫多	トロント
多島海	エーゲかい
多悩	ドナウ
多聞天	たもんてん
多遅	たじ
多霊	トリノ
夜半	よわ
夜咄	よばなし
夜尿	よばり
夜業	よなべ
夜発	やほつ
夜直	よたた
夜臼式	ゆうすしき
夜興引	よこびき
夢現	ゆめうつつ
夥多	あまた
大世帯	おおジョタイ
大人	うし／ おとな
大兄	おおえ
大凡	おおよそ
大刀	たち
大十社	タキトゥス
大口魚	たら
大和	やまと
大和撫子	やまとなでしこ
大和歌	やまとうた
大和魂	やまとだましい
大塊	おおぐれ
大夫	たゆう
大形	おおぎょう
大御灯	おおみあかし
大戟	たかとうだい
大旦	おおあした
大晦	おおつごもり
大晦日	おおみそか
大晩菜	おばんざい
大曲	おおわだ
大殯	おおあらき
大殿	おとど
大殿油	おおとなぶら
大水萍	ほていあおい
大炊	おおい
大炊寮	おおいリョウ
大猩猩	ゴリラ
大砌	おおみぎり
大祓	おおはらえ
大童	おおわらわ
大臣	おとど
大芥菜	たかな
大茴香	アニス
大荒城	おおあらき
大葉藻	あまも
大蒜	にんにく
大蚊	ががんぼ
大蛇	おろち
大衍暦	たいえんれき
大角	はらのふえ
大角草	いささぐさ
大角豆	ささげ
大豆粕	まめかす
大連	おおむらじ
大鉈	おおなた
大鋸屑	おがくず
大闢	ダビデ
大陰神	だいおんじん
大雪山	ヒマラヤ
大音声	だいおんじょう
大風	おおぶり
大馬士革	ダマスカス
大鮃	おひょう
大鯊	だぼはぜ
大鷺	だいさぎ
大鼓	おおかわ
天一神	なかがみ
天井桟敷	テンジョウさじき
天倪	あまがつ
天児	あまがつ
天名地鎮	あないち
天名精	やぶたばこ
天地	あめつち
天女花	おおやまれんげ
天幕	テント
天晴	あっぱれ
天柱	ちりけ
天牛	かみきりむし
天皇	すめらみこと
天社蛾	しゃちほこが
天竺牡丹	ダリア
天糸瓜	へちま
天蚕	やままゆ
天蚕糸	てぐす
天蛾	すずめが
天道	あまじ
天青地白	ちちこぐさ
天魚	あまご
天鵝絨	ビロード
天麻	おにのやがら
天鼠	こうもり
天鼠失	くすね
太兆	ふとまに
太刀	たち
太刀奪	たちばい
太刀打ち	たちうち
太刀風	たちかぜ
太刀魚	たちうお
太占	ふとまに
太夫	たゆう
太宰権帥	だざいのごんのそち
太山樒	みやましきみ
太布	たふ
太平簫	ちゃるめら
太政官	だじょうかん
太棹	ふとざお
太白神	ひとひめぐり
太肉	ふとりじし
太藺	ふとい
夫夫	それぞれ
夫婦	めおと
夫籠	つまごみ
夫羅凌斯	フィレンツェ
失声	ひごえ
夷守	ひなもり
夷曲	ひなぶり
奇に	あやに
奈何	いかん
奈翁	ナポレオン
奎宿	とかきぼし
奏鳴曲	ソナタ
契情	けいせい
奠稲	くましね
奥克蘭	オークランド
女喜志古	メキシコ
女夫	みょうと
女宿	うるきぼし
女将	おかみ
女形	おやま
女方（遺跡）	おかた
女日芝	めひしば
女無天	ミント
女留保論	メルボルン
女真	くまのみずき
女衒	ぜげん
女貞	ねずみもち
女郎花	おみなえし
女郎蜘蛛	じょろうぐも
女青	へくそかずら
奴原	やつばら
奴国	なのくに
如件	くだんのごとし
如何	いかが／いかん／どう
如何児	いかなご
如何様	いかさま
如何様師	いかさまシ
如何物食い	いかものぐい
如去	にょこ
如斯	かくのごとし
如月	きさらぎ
如此	かくのごとし
如雨露	ジョウロ
如露	ジョウロ
妄榧	もみ
妓夫	ぎゅう
妹兄	いもせ
妹背	いもせ
妻夫	めおと
妻子	めこ
妻敵	めがたき
妾馬	めかうま
姉女	せなじょ
姉妹	きょうだい
姉弟	きょうだい
委す	まかす
委内瑞拉	ベネズエラ
委内瑞辣	ベネズエラ
委曲	つばら
姥百合	うばゆり
姨捨山	おばすてやま
姪騫	ディケンズ
姫昔艾	ひめむかしよもぎ
姫莎草	ひめくぐ
威内斯	ベニス
威霊仙	くがいそう
娘子郎四	おみなえし
婁宿	たたらぼし
婆羅	ボルネオ
婆羅的	バルチック
婆芹	おばぜり
婚星	よばいぼし
婚礼菓子	ウエディングケーキ
媒鳥	おとり
媾曳	あいびき
嫁鳥	とつぎどり
嫡妻	むかいめ
嫡嫡	ちきちゃき
嫩	ふたば
嬉嬉	いそいそ
嬋媛	おそよか
嬌柳	たおやなぎ
嬢はん	いとはん
嬰児	みどりご
子生婦	こんぶ
子規	ほととぎす
子負着	こよぎ
孑孑	ぼうふら
孑孒	ぼうふら
孔徳	コント
孔球	ゴルフ
孕女	うぶめ
存処	ありか
孛烈児	ポーランド
孛露	ペルー
孟加拉	バングラデシュ・ベンガル
孟徳斯鳩	モンテスキュー
孟禄	モンロー
孟買	ボンベイ
孤児	みなしご
学舎	まなびや
宇瓦	のきがわら
守宮	やもり
守宮神	すくじん
守瓜	うりばえ
安土府	アントワープ
安得仙	アンデルセン
安房	あわ
安特堤	アムステルダム
安的児孫	アンデルセン
安石榴	ざくろ
安芸	あき
完骨	みみせせ／せせ
宗段	スーダン
宛行	あてがい
宛行扶持	あてがいブチ
宜候	ようそろ
実に	げに
実生	みしょう
実葛	さねかずら
客人	まろうど
客実	まろうどざね
室咲	むろざき
室宿	はついぼし
宵宮	よみや
家司	けいし
家壁蝨	いえだに
家猪	ぶた
家船	えぶね
家苞	いえづと
家部	やかべ
家鴨	あひる
宿星菜	ぬまとらのお
宿曜	すくよう
宿直	とのい
宿花	よみはな
宿酔	ふつかよい
宿鮎	さびあゆ
寄人	よりゅうど
寄居虫	やどかり
寄席	よせ
寄方	よるべ
寄生木	やどりぎ
寄生蜂	やどりばち
密事	みそかごと
密執安	ミシガン
密士失比	ミシシッピ
密夫	まおとこ
密密	ひそひそ
密河	ミシシッピ
密男	まおとこ
富籤	とみくじ
富貴草	ふっきそう
寒復習	かんざらい
寒晒粉	かんざらしこ
寒苺	ふゆいちご
寒蟬	つくつくぼうし
寝心地	ねごこち
寝穢い	いぎたない
寝聡い	いざとい
察母阿	サモア
寡婦	やもめ
寡男	やもお
寧楽	なら
寮国	ラオス
寸半	きなか
寸寸	ずたずた
寸白	すばく
寸莎	すさ
対う	むかう
対屋	たいのや
対馬	つしま
寿光木	さわぐるみ
寿府	ジュネーブ
寿歌	ほぎうた
寿留女	するめ
寿詞	よごと
封土	ポンド
封度	ポンド
専女	とうめ
射干	ひおうぎ
射干玉	ぬばたま
射翳	まぶし
将又	はたまた
尉鶲	じょうびたき
小傘	こがらかさ
小咄	こばなし
小啄木鳥	こげら
小国鶏	しょうこく
小夜	さよ
小夜曲	セレナーデ
小太刀	こだち
小女子	こうなご
小尉	こじょう
小巣鳥	すずめのえんどう
小巾	こぎん
小忌	おみ
小忌衣	おみごろも
小手毬	こでまり
小斎	おみ
小春日和	こはるびより
小晦日	こつごもり
小札	こざね
小櫱	めぎ
小止み無し	おやみなし
小水葱	こなぎ
小波	さざなみ
小火	ぼや
